,SBS1,SBS10a,SBS10b,SBS13,SBS14,SBS15,SBS18,SBS2,SBS20,SBS26,SBS3,SBS31,SBS34,SBS5,SBS54,SBS8,SBS96,SBS97,SBS98
TCGA-D1-A0ZO,784.4699401144336,0.0,0.0,48.644059971526815,0.0,0.0,489.9404894569972,0.0,0.0,0.0,1380.9599668829248,224.5395555094701,0.0,3894.527216834804,489.6955766152007,487.11877342782856,0.0,0.0,0.0
TCGA-A5-A0GI,276.13439164863763,0.0,0.0,89.97384276638456,0.0,0.0,624.4120965784405,93.99631784201873,0.0,172.93049721127795,2672.876339000897,106.83286188305324,0.0,136.39823859310218,133.2726555743422,0.0,0.0,0.0,0.0
TCGA-A5-A0GX,203.19845827934012,0.0,0.0,0.0,0.0,0.0,2718.360776430068,34.92383574737233,2110.1122693405664,0.0,2063.7665877095515,0.0,0.0,0.0,160.4615349812496,0.0,0.0,0.0,0.0
TCGA-AX-A1C7,757.4274886051768,0.0,0.0,13.98173109177673,0.0,0.0,457.123082547206,0.0,0.0,0.0,2116.325703152763,173.76857085259513,0.0,5267.223908588648,428.9124432490594,0.0,0.0,0.0,0.0
TCGA-EY-A1GL,716.9641653848253,0.0,219.43372221619583,0.0,0.0,0.0,332.3696949337963,149.5377762397474,0.0,62.28683184330293,5797.715698690286,0.0,0.0,2286.027969494837,440.6167404606191,0.0,0.0,0.0,0.0
TCGA-AP-A3K1,732.1618046401321,0.0,0.0,0.0,0.0,343.479950499658,155.0419644787242,34.447904953350445,381.5884816583786,336.82322838779504,1357.5718359307998,280.77076794134416,0.0,1039.5611362603306,315.6151466326391,0.0,0.0,897.7050528627851,0.0
TCGA-EY-A1GC,246.00801066582184,0.0,54.924137970407855,0.0,0.0,370.3137730636364,820.2661869907986,56.34679837993601,181.8488943607297,67.80156632137255,1914.404689805053,0.0,0.0,1264.561074513044,291.9884688432252,0.0,0.0,0.0,0.0
TCGA-AX-A063,455.9288542265851,0.0,0.0,0.0,0.0,0.0,768.7599950646986,43.04739090166656,113.9094335673094,149.18831326934435,1149.0889222982478,64.13992073422763,0.0,1797.5918496619597,183.45887713073387,0.0,0.0,0.0,0.0
TCGA-D1-A16O,273.26193595701307,0.0,0.0,0.0,0.0,169.27691566035065,0.0,73.05735320216428,0.0,161.29627288765786,2169.741305711976,195.82621315066623,0.0,980.70717930942,209.3133939902855,0.0,0.0,0.0,0.0
TCGA-KP-A3W4,437.3342316831885,0.0,0.0,0.0,0.0,0.0,1049.4641359668572,131.41038794120374,188.9228299612465,0.0,1645.082829528537,193.21122774974287,0.0,837.7912486357448,240.44409672039532,0.0,0.0,0.0,0.0
TCGA-AJ-A3NG,1373.573497011257,0.0,0.0,0.0,0.0,145.15633418300558,873.6298869446576,281.67455349260206,0.0,0.0,5156.373886879311,0.0,0.0,7415.51175217757,768.6732733305207,0.0,0.0,0.0,0.0
TCGA-B5-A0JY,1564.6298394491048,0.0,243.30466567791385,0.0,0.0,0.0,383.58866722545366,259.6199562229245,0.0,1258.5301719962044,5574.362743940521,0.0,0.0,8921.043425115098,0.0,0.0,0.0,0.0,0.0
TCGA-AX-A06F,505.8820686943154,0.0,0.0,49.60120148897306,0.0,0.0,399.5752987103461,0.0,0.0,0.0,1067.770690255717,0.0,0.0,3155.4801511120395,159.298933217402,502.86190862729967,0.0,0.0,0.0
TCGA-AX-A2HA,570.9674846155034,0.0,0.0,15.52720691623128,0.0,778.7208496066755,557.1302361283076,0.0,698.4871685914105,371.0511149198808,616.3928067135533,208.19201588604588,0.0,1711.5622173712493,357.0483632468529,427.3995388419351,0.0,284.038079497791,0.0
TCGA-B5-A11F,358.5005253004088,0.0,0.0,0.0,0.0,0.0,203.46479127425332,121.79188861923204,0.0,252.93689112194232,2050.791740711058,280.73502900175697,0.0,2878.883598165856,0.0,0.0,0.0,0.0,268.7825169015633
TCGA-B5-A121,17186.336994327172,1660.7528443788713,0.0,0.0,4378.415530796236,22249.38686554456,0.0,247.49109955186225,0.0,6195.089743381325,0.0,6990.180579025138,0.0,3492.210999228844,0.0,0.0,0.0,0.0,0.0
TCGA-H5-A2HR,900.4842301395382,0.0,0.0,0.0,0.0,0.0,518.2165113308308,114.38756614995444,0.0,458.3056540129622,1845.6590488688264,272.0123349635337,0.0,4712.339781837117,240.0416039812828,0.0,0.0,0.0,0.0
TCGA-AX-A06B,394.619252742015,0.0,0.0,0.0,0.0,0.0,913.3033560674808,37.79702391757351,96.94516861942894,0.0,1502.216078715487,77.84178828823747,0.0,1240.5160505356016,300.67593338486563,0.0,0.0,150.04563163498324,0.0
TCGA-DF-A2KS,452.68397247045954,0.0,179.23737414155494,83.71484934574413,0.0,0.0,325.49438842796303,0.0,0.0,0.0,1377.4115490429226,0.0,0.0,3348.9890261833257,228.0887062337757,448.0430492598751,0.0,0.0,0.0
TCGA-A5-A1OJ,189.0446725085748,0.0,64.63833067539998,0.0,0.0,0.0,178.9186561550029,78.42577433050523,0.0,0.0,1937.3148235347664,142.1122740373769,0.0,1850.642471305477,0.0,0.0,0.0,0.0,423.77182866570433
TCGA-AX-A062,215.78502537330505,0.0,0.0,0.0,0.0,0.0,370.1162588768423,138.25114316003155,0.0,293.63021352731243,3410.2612936807377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-D1-A1O7,305.4050765013116,0.0,31.45434686663674,0.0,0.0,0.0,393.9308818982796,113.45294071422283,0.0,62.76840050961039,2221.2378099412867,0.0,0.0,616.6001805894329,209.4628780701518,0.0,0.0,0.0,0.0
TCGA-D1-A0ZS,537.6243058999945,0.0,67.07825904085679,0.0,0.0,315.15552805829066,508.95489767974937,116.71093838506056,0.0,605.3637030952731,2775.115953106508,0.0,0.0,0.0,0.0,0.0,0.0,361.5520764872188,0.0
TCGA-AX-A3FX,275.1366733241575,0.0,0.0,0.0,0.0,0.0,551.0133184584733,0.0,40.68646763636736,0.0,984.070500595529,0.0,0.0,1425.8034954495406,127.87842591310108,295.52427022455737,0.0,0.0,0.0
TCGA-D1-A15W,375.1714347106501,0.0,141.7507292394696,200.21020902502855,0.0,251.505641529286,776.1542026074352,208.36515146029524,0.0,0.0,1849.966225953879,0.0,0.0,1922.2627470835207,266.23611770998866,0.0,0.0,0.0,0.0
TCGA-FI-A2EU,278.3323959196504,0.0,51.89179873390508,0.0,0.0,0.0,636.3848963609689,0.0,100.72013828327373,0.0,1095.971238856314,111.76668497036007,0.0,1180.3443285795624,146.5919928453961,0.0,0.0,0.0,0.0
TCGA-D1-A0ZP,1030.77093916101,0.0,0.0,0.0,13.48082376532398,274.6387540943655,609.1342503096981,0.0,516.6979515136782,164.69235641488075,832.4693642824235,108.47451712402756,0.0,712.2947690193027,182.722695438902,0.0,0.0,428.630977862106,0.0
TCGA-DI-A1NO,331.71627414642666,0.0,0.0,0.0,0.0,328.68233809200626,834.1078325227288,53.532211090684186,149.4642172249752,91.68437045083482,1601.1280601763208,154.7260307450092,0.0,909.34788441685,205.87170967153727,0.0,0.0,0.0,0.0
TCGA-BK-A0C9,555.8456677064629,0.0,246.87761000070503,0.0,0.0,0.0,1131.634696234208,488.7057748272268,0.0,771.1240490192378,10970.959737362631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1836.0285691306965
TCGA-AP-A1DK,468.522869268669,0.0,0.0,68.29061867736216,0.0,0.0,264.82584425377905,92.81977578204754,0.0,112.24929782250592,1276.0721029905983,140.66249679953742,0.0,1300.612444552586,215.06094646634324,0.0,0.0,0.0,0.0
TCGA-A5-A1OK,202.49954237483584,0.0,56.87772083774527,0.0,0.0,0.0,126.23398773318388,27.36404474611076,0.0,0.0,779.938502654932,0.0,0.0,995.0008012871956,130.91161773252185,0.0,0.0,0.0,0.0
TCGA-D1-A17A,278.3197657040241,0.0,0.0,0.0,0.0,46.891700679953885,389.5926814867991,218.9108566422411,0.0,206.30405169106243,2557.8131261876115,162.57782653750397,0.0,927.7170082693642,135.898455827612,0.0,230.86811325064528,0.0,0.0
TCGA-PG-A916,175.04969064324604,0.0,80.41132700526396,0.0,0.0,0.0,537.3912794520417,183.72832759922804,0.0,279.57036437151845,4210.498016242058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-AJ-A5DW,109.28831226947489,0.0,32.91806006291228,0.0,0.0,61.88312086934254,161.46185888758563,49.66879349628166,0.0,0.0,1172.5923813213506,108.42997161057409,0.0,155.55297868591504,96.54097145876614,0.0,117.56794779630444,0.0,202.00940486272637
TCGA-AX-A05Y,81.22619661190863,0.0,14.491933443912425,0.0,0.0,0.0,0.0,15.373895398771054,0.0,185.81442378210116,636.8304811188731,62.51528003122213,16.032736140334286,0.0,0.0,0.0,0.0,47.54683545747159,0.0
TCGA-E6-A1LX,350.8154282969318,0.0,81.47536725322777,100.66789788565738,0.0,315.4775452396178,481.1740209606447,123.22843265194736,175.29840450658037,0.0,1470.773890641863,121.84928299757324,0.0,1706.4785490269,241.6498928281726,0.0,0.0,0.0,0.0
TCGA-D1-A168,156.6136934423225,0.0,65.9807908960306,0.0,0.0,207.96362882846344,166.3959462593863,83.80296447628987,0.0,204.67522579393693,1882.3269530484213,156.09144699770292,0.0,423.7900682585096,121.97341411222956,0.0,0.0,0.0,117.40495429723842
TCGA-D1-A1O0,247.70689365087844,0.0,0.0,0.0,0.0,198.89029557881096,1057.616114795694,0.0,214.16418062579524,85.83904064858257,1289.4560093061375,84.51650951871558,0.0,1014.2050187680431,182.9215318583388,0.0,0.0,0.0,0.0
TCGA-AJ-A3NF,396.43465991057934,0.0,158.11737823950665,564.690628859773,0.0,0.0,365.8271342828815,914.8206221921585,0.0,0.0,1010.3910583247878,281.63654287544034,0.0,1817.5638225995765,174.94364443514075,0.0,0.0,0.0,0.0
TCGA-FI-A2CY,358.4151381997274,0.0,312.1962985207429,232.2462765012048,0.0,371.2883007365451,870.4676135605905,703.0333618025946,172.80965251868253,0.0,1056.084467307701,141.5695073672824,0.0,1249.40056700607,163.10345527999152,0.0,0.0,328.1790296682547,0.0
TCGA-BG-A0VW,372.2769868155155,0.0,0.0,0.0,0.0,0.0,110.46476353641492,88.17651549936072,0.0,282.7521652745944,2459.1543724054995,0.0,0.0,1651.6302770004645,0.0,0.0,0.0,0.0,225.65898417643075
TCGA-B5-A0K4,394.758082536381,0.0,0.0,0.0,0.0,140.97841086373444,402.5789335635383,127.25905037777446,0.0,111.6707083623046,3275.6857756966665,158.1673147180518,0.0,924.9135970620996,233.62846288156695,0.0,0.0,0.0,0.0
TCGA-B5-A11S,138.77309225592407,0.0,0.0,11.787695559941032,0.0,0.0,0.0,11.526499843910806,0.0,0.0,0.0,170.73980462256148,605.7557272800839,0.0,30.303779680568383,289.0664998915501,2098.90378344963,0.0,1838.446659811888
TCGA-BG-A0MT,1324.6091855474515,0.0,0.0,0.0,0.0,0.0,0.0,98.85260108048006,0.0,278.7734409901577,1599.0405237480527,314.1326694901902,0.0,7484.492578611117,543.9695930297037,0.0,0.0,0.0,0.0
TCGA-AX-A1CN,274.2592824740033,0.0,0.0,0.0,0.0,68.68800707216633,120.4673582088983,93.83390383169602,0.0,0.0,1643.5958234172583,166.56005653053262,0.0,1736.48248061216,75.36278409337608,0.0,0.0,0.0,542.7406889940098
TCGA-AP-A1DH,209.90667105754872,0.0,38.022620417770895,0.0,0.0,0.0,311.4957217076209,112.30531077958383,0.0,0.0,3298.56806130293,0.0,0.0,705.674778665253,0.0,0.0,0.0,0.0,498.25822900032654
TCGA-D1-A17U,232.939972963416,0.0,0.0,0.0,0.0,97.777299602599,583.1117854204391,84.76781463243417,0.0,181.68261006684665,2245.895500189419,170.5602499919434,0.0,1497.671312529345,0.0,0.0,0.0,0.0,256.2317125902782
TCGA-AJ-A3OJ,805.1200742054298,0.0,0.0,41.620645193910775,0.0,0.0,170.66425500773968,0.0,165.16836015633385,0.0,1594.1003736714854,0.0,0.0,6863.025933196701,414.9913434268026,518.2945965598287,0.0,0.0,0.0
TCGA-B5-A0K0,484.0426074410191,0.0,69.95598823146369,0.0,0.0,0.0,610.077307469358,206.62771045598723,0.0,651.9543197920127,4244.7212477004205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-EY-A210,1174.8258712430602,0.0,0.0,70.27818872557668,0.0,0.0,325.4161344885757,0.0,0.0,0.0,2094.0222609900966,0.0,0.0,7554.482140887565,536.1007039796052,207.89942454015056,0.0,0.0,0.0
TCGA-EO-A22R,203.58027089462055,0.0,0.0,0.0,0.0,131.5965218626765,137.0689155013052,48.07345329211292,0.0,188.14262331994087,1403.0606742040163,178.3686730166364,0.0,637.3442029500962,130.88196203487485,0.0,0.0,0.0,0.0
TCGA-D1-A0ZQ,1311.3266936788548,0.0,0.0,112.999924388556,0.0,0.0,204.3152287848638,0.0,0.0,0.0,1995.350026818103,0.0,0.0,10204.83242930634,577.4188325903733,765.2805645575951,0.0,0.0,0.0
TCGA-B5-A3FB,190.1105392210317,0.0,0.0,81.14474052009933,0.0,356.9022169257376,1450.4025497444811,126.53939069403532,158.6341554798966,139.64541666170624,1806.1338462220288,35.667839714272326,0.0,209.55161133463824,276.7178831452111,0.0,0.0,239.66412054032068,0.0
TCGA-AP-A0LD,275.5529040589148,0.0,0.0,0.0,0.0,162.10701344611152,251.36878136206187,47.78513611962013,0.0,203.823526858434,1774.1163840847978,191.8914120727502,0.0,1573.5964057908282,140.67486459263785,0.0,0.0,0.0,0.0
TCGA-EY-A549,252.5227498859948,0.0,0.0,0.0,0.0,71.00188140574875,193.5042134365841,74.96592521663749,0.0,128.26509017465304,2512.154128056572,131.8127185878259,0.0,1672.4740961031202,0.0,0.0,0.0,0.0,438.9233844424916
TCGA-D1-A176,126.04531477094852,0.0,49.7727158874016,206.8983576844496,0.0,0.0,721.7438726950049,129.14398678523133,419.1582824193923,45.6092122674754,1053.2400333818923,0.0,0.0,0.0,31.33152811101144,0.0,0.0,0.0,0.0
TCGA-AJ-A23O,157.8156770549302,0.0,0.0,0.0,0.0,117.21221780603926,261.3988698835595,0.0,0.0,144.77216084785556,1268.0389491538886,61.32235088917172,0.0,509.2369130288809,116.55966862367654,140.2088804386722,0.0,0.0,0.0
TCGA-A5-A0G1,251.6922100988685,0.0,0.0,48.11907736280386,0.0,264.2706799993839,848.2932331215416,78.09105545929366,132.40249695551458,66.26971858066241,1074.588108952277,29.002033478021936,0.0,616.8592139705007,174.74409326725112,0.0,0.0,256.73124244340954,0.0
TCGA-B5-A0JT,159.00524947945027,0.0,0.0,0.0,0.0,0.0,225.92896337131725,178.45257730229162,0.0,244.9828124035638,3442.6528155947494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-FI-A3PV,279.0973344162816,0.0,0.0,20.806644073301086,0.0,102.7920921511181,247.93304368301608,53.51709594117936,0.0,0.0,676.2484024564001,119.8209575767926,0.0,1368.9848770061126,128.3623141566644,0.0,0.0,0.0,0.0
TCGA-A5-A0R6,243.03939453676296,0.0,0.0,0.0,0.0,0.0,578.3926833518985,35.46780189563992,59.70214831265129,124.3313782063742,1087.3862864940484,145.89019192160973,0.0,538.4979015050544,181.87081945744944,0.0,0.0,0.0,0.0
TCGA-D1-A16B,332.27337667063125,0.0,54.962254572910666,0.0,0.0,0.0,297.28984972148027,76.37210994075338,0.0,0.0,1985.0890836447609,0.0,0.0,763.4547412392826,159.75607529517282,0.0,0.0,0.0,0.0
TCGA-D1-A103,212.3557060493059,0.0,0.0,58.3730501224844,0.0,500.5757947484576,595.0036680106509,146.0900369971232,188.7442218264553,170.26045969404385,819.8467536003145,121.2033433447188,0.0,612.1686567961331,94.31476999245888,0.0,0.0,286.0553134254819,0.0
TCGA-BS-A0VI,1339.8224472358177,0.0,0.0,173.96444867617487,0.0,0.0,431.361937159949,257.03907534767575,74.46674560898384,178.81176175711872,844.0814454991782,405.5405666920901,0.0,6781.07848466208,298.1660930003606,0.0,0.0,0.0,0.0
TCGA-EY-A4KR,275.4215507584444,0.0,72.50901575270368,157.18403570041386,0.0,0.0,193.5106761040256,191.2819705774473,0.0,95.25095527146456,1244.9422774980646,0.0,0.0,925.248178483894,133.3741801240153,0.0,0.0,0.0,0.0
TCGA-AP-A05H,515.4799725892691,0.0,0.0,0.0,0.0,225.66901572423933,1179.6113639520545,0.0,535.6573694063477,131.53981721205568,768.7449814604072,0.0,0.0,1373.0163910712574,252.46641078084636,683.3084220836582,0.0,0.0,0.0
TCGA-B5-A0K2,235.897899024694,0.0,0.0,54.30438248853648,0.0,302.81879266039425,576.5623667046164,121.71908124451872,68.9496968177496,341.47949199739605,1996.9584877554285,145.79220079608828,0.0,0.0,244.1994941831773,248.0882755784188,0.0,385.9457857645132,0.0
TCGA-BK-A56F,255.780788785214,0.0,86.5456721565323,0.0,0.0,0.0,0.0,86.32788908575854,0.0,0.0,4719.877115132536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-EO-A3L0,469.7629747125072,0.0,0.0,0.0,0.0,0.0,785.9404063596033,261.5166690045539,0.0,642.2496658570851,8142.465526612921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-D1-A165,461.4814029970367,0.0,0.0,0.0,13.073710503777548,202.4442013392065,899.1620593478699,102.36113191059728,362.082441518787,83.46399902257116,1057.573105957351,150.65957036107193,0.0,895.1009570558525,245.0118625552377,0.0,0.0,214.53466961938364,0.0
