"","Signature_1","Signature_13","Signature_17a","Signature_17b","Signature_18","Signature_2","Signature_3","Signature_30","Signature_34","Signature_41","Signature_5","Signature_8","Signature_85","df.extra"
"TCGA.A2.A25D",NA,NA,63.7235494799682,31.2984425596194,504.440896969305,61.7027950362164,786.654219595241,NA,NA,NA,1288.89103187616,449.685600197023,321.96204374059,786.654219595241
"TCGA.BH.A201",37.7091868468613,NA,53.062734415034,7.31703639600195,337.173803544142,NA,239.666973658589,NA,NA,NA,967.011827304523,305.82336159287,62.0938141046655,239.666973658589
"TCGA.EW.A1OV",185.309394784735,NA,92.0394584698748,NA,816.066856794044,165.800086893476,729.927954280069,152.870237330113,NA,NA,2202.41366579664,307.659966431398,NA,729.927954280069
"TCGA.AC.A8OQ",59.7426082103837,400.168419822242,67.0345164555257,NA,562.674860581544,326.963889108323,NA,NA,NA,NA,1826.01056587154,768.74260454957,107.530269431034,0
"TCGA.A2.A0T4",156.392364388098,74.0265450454937,15.2710455313337,NA,NA,10.8434378511335,796.322187586248,NA,NA,NA,2802.40579736064,180.162534166187,354.474458780202,796.322187586248
"TCGA.D8.A1JU",77.1157752779018,NA,93.8953670871252,NA,NA,54.625026865501,1067.75284512796,NA,NA,315.937012667931,2330.0941039374,339.150235452469,657.738113028816,1067.75284512796
"TCGA.AR.A2LO",61.2692472679432,NA,53.3133755743095,31.2363245468041,225.399164590195,NA,787.169367131571,NA,NA,NA,1386.44291945538,426.949348342469,163.595325461511,787.169367131571
"TCGA.A2.A0YL",61.8622198085239,NA,NA,23.6135580208845,920.33091445065,208.670991369499,2445.00059033779,NA,NA,NA,353.482206866924,293.989062585038,285.888529446699,2445.00059033779
"TCGA.C8.A1HE",NA,308.763532718334,56.1506165014118,NA,423.110214093435,463.390168915227,653.966049809348,NA,NA,NA,1250.80685874118,235.227156250002,187.59837165835,653.966049809348
"TCGA.B6.A1KF",124.73815925289,NA,96.7752108693334,5.75806919885256,373.090096172316,98.0859107529308,1527.35325681771,NA,NA,NA,1224.13167857536,NA,290.870944170256,1527.35325681771
"TCGA.A7.A26I",1852.57966493112,NA,0.67821895992511,NA,554.13514700262,NA,543.229667414638,104.018531014364,NA,119.781266221146,5104.17454702274,911.337876230808,NA,543.229667414638
"TCGA.BH.A0HQ",318.716789456822,58.9874458217508,123.011958783442,NA,238.404083421316,NA,396.898793352021,NA,NA,NA,5170.52940820617,472.699345181752,819.27808618026,396.898793352021
"TCGA.E9.A5FK",300.513842586391,56.6051128746426,NA,NA,133.374361897418,120.697125271071,484.147993018718,NA,NA,NA,5153.37466927794,572.680729514665,590.669902466562,484.147993018718
"TCGA.GM.A2DD",NA,NA,NA,4604.50371306511,57446.5509218935,2524.63653639329,NA,NA,NA,28108.6619510909,NA,NA,NA,0
"TCGA.A8.A07B",791.871954841448,NA,63.5998669752439,NA,432.337050084332,NA,605.431114684706,NA,NA,211.49465808871,4878.98780125952,567.273057223562,217.322118047972,605.431114684706
"TCGA.C8.A26V",141.842926094866,NA,92.9615558826956,21.8990452698709,394.879447588475,13.3396978537891,1159.43833910407,NA,NA,NA,1446.0436738145,NA,266.370214491218,1159.43833910407
"TCGA.D8.A1JL",275.631329700815,14.3639010477975,221.789031606862,10.7102048985285,NA,86.391928988977,2253.11334646605,NA,NA,NA,4926.20707341994,NA,957.650728828539,2253.11334646605
"TCGA.D8.A1XW",147.778092868741,NA,133.563191299431,NA,404.840992971041,80.427865825032,1693.63521722988,NA,NA,NA,1815.01202780803,134.169003310695,305.189305150063,1693.63521722988
"TCGA.EW.A1PB",NA,40.3951922421239,103.021475662611,NA,NA,47.0920684260757,823.333786221143,NA,NA,189.714010071233,1775.89454614467,203.553756250714,491.976563066337,823.333786221143
"TCGA.A8.A07L",36.1697862331835,5.27701848052768,100.494508771679,NA,1248.27445941041,NA,310.552536595929,NA,NA,NA,2014.70127473337,862.869171194754,67.4868171410887,310.552536595929
"TCGA.D8.A140",91.9978993788301,24.5141543338526,19.9286082214157,NA,187.929952008194,NA,424.74714427333,NA,NA,NA,1278.12523562617,181.178233879336,144.019848533354,424.74714427333
"TCGA.GM.A5PX",63.9391514095171,55.6051641029749,34.95990619147,NA,553.103578412086,NA,359.045570808411,NA,NA,NA,1739.90448884889,509.429246054492,233.985687101969,359.045570808411
