"","Signature_1","Signature_13","Signature_18","Signature_2","Signature_3","Signature_33","Signature_34","Signature_41","Signature_5","Signature_8","df.extra"
"TCGA.DG.A2KK",78.6212328357074,140.558734747922,NA,101.606264186637,411.673054918405,131.913206965252,NA,NA,4588.65388319024,933.591325175528,411.673054918405
"TCGA.C5.A1ML",301.080205143404,NA,NA,NA,853.273386009681,154.653515632381,78.7802802481692,205.540946927879,3848.93732266798,194.258525156338,853.273386009681
"TCGA.FU.A3TX",53.1323694015456,81.8374518137351,279.316021267135,50.1513976958794,NA,131.584845300521,NA,NA,1689.00311349648,615.519595551305,0
"TCGA.EK.A2RD",87.3118468383643,NA,374.781417845729,80.5540231091065,2125.37528861874,94.3877859768607,NA,NA,621.3793434497,8.18486732635646,2125.37528861874
"TCGA.EK.A2PM",289.490434872507,NA,587.217897117581,NA,142.273113611698,165.913395607732,NA,24.2139938028781,3086.42841506492,908.154402889994,142.273113611698
"TCGA.C5.A3HL",247.223639008126,NA,231.712344340545,114.534188921928,2977.27729413215,195.081531318062,NA,2.70383257105248,1650.23613448193,NA,2977.27729413215
"TCGA.VS.A8QF",923.562442520722,485.659292164958,NA,796.36855576814,1035.96519283215,375.977721944318,NA,267.289564541375,10978.7416834159,NA,1035.96519283215
"TCGA.VS.A94X",NA,NA,44727.4411369547,2339.79858579681,NA,66.4682439534325,NA,20131.9149042143,NA,NA,0
"TCGA.C5.A1BF",285.222608228178,147.066511625078,NA,102.497504590651,767.492885934536,331.990807651606,NA,NA,4987.56396414392,898.283435617277,767.492885934536
"TCGA.DS.A1OB",226.208612023936,84.0443711081729,NA,NA,622.187719653662,343.312753409681,NA,468.07429961622,7269.55576828145,815.760187981036,622.187719653662
"TCGA.C5.A1BE",184.925078664494,251.545163463078,159.002747868871,105.34816465269,NA,241.407007165534,NA,NA,3970.97981889507,890.0761873802,0
"TCGA.EA.A556",12.4238074072154,NA,426.025125017594,13.8478437776027,763.14428529207,129.841825433596,NA,NA,1236.06330555293,511.373539931597,763.14428529207
"TCGA.EA.A3Y4",225.024814285495,197.050027673532,NA,70.0000823626782,NA,324.723757957904,55.3978592942482,NA,7073.68945548418,1440.14616544632,0
"TCGA.ZX.AA5X",163.157961136305,NA,NA,76.420493296192,1000.40980925205,140.586018873925,NA,243.950298385453,3075.38543295485,152.759306962276,1000.40980925205
"TCGA.VS.A9UU",105.219555803425,306.534322491602,739.590373925617,222.574715540755,NA,249.352966560034,NA,NA,3626.82764870415,1214.82760720836,0
"TCGA.MY.A5BF",102.663100358164,134.601407136525,NA,47.5223048177516,942.680052872297,184.579757239563,NA,NA,2273.84901875083,566.524756160433,942.680052872297
"TCGA.C5.A1MF",352.041467903414,NA,NA,108.947949639397,1915.11426672628,395.788502472674,NA,442.904788779809,6322.21647880154,586.447119763573,1915.11426672628
"TCGA.EK.A2PG",89.6598382442221,NA,NA,91.8693752824825,2315.31655053639,147.068379232266,42.2404475256956,NA,1239.66887274171,NA,2315.31655053639
"TCGA.UC.A7PG",NA,163.177441793951,NA,95.136004801163,520.444306960468,188.227692851829,NA,486.417599505071,4504.80485154466,1175.07718996841,520.444306960468
"TCGA.UC.A7PG.1",266.278277916149,50.2291126198902,269.596422647639,NA,243.738593013142,195.540960250313,NA,NA,5626.277809562,947.393018184168,243.738593013142
"TCGA.4J.AA1J",30.7196893191297,NA,389.643969769225,3.9133122975537,336.588398680715,92.9170309903004,NA,NA,1039.47755651794,350.514016438675,336.588398680715
"TCGA.JW.A5VI",143.560282575359,NA,341.118355433406,108.437317510791,2944.5630850933,158.445640473856,9.49660627936373,NA,921.41161554936,NA,2944.5630850933
"TCGA.PN.A8MA",281.131023446839,NA,239.699523124914,51.0381934972345,369.991698436081,133.839260101005,NA,NA,3386.34770123002,461.350508087992,369.991698436081
"TCGA.C5.A7X8",52.4655152989512,NA,NA,37.2926655063115,324.938279219135,101.923734707133,NA,227.542067414808,1702.57523005786,618.390036294709,324.938279219135
"TCGA.VS.A8Q9",192.723255888901,242.879671302024,372.504075480977,154.97686656564,NA,163.344423560418,NA,NA,4710.76988520494,1190.6468510145,0
"TCGA.IR.A3LC",199.071610794538,NA,NA,63.1287479984015,1176.33492150511,199.339588952687,NA,269.247696521093,3566.80663767813,392.973270771935,1176.33492150511
"TCGA.ZJ.AAXT",129.0869929405,395.686343741214,NA,446.68435940049,NA,261.850127521444,NA,374.60722240731,5080.96666942831,1312.90578934934,0
"TCGA.2W.A8YY",82.2597193927574,43.0442243536142,670.418706377843,NA,431.139583475232,103.734929226872,NA,NA,1961.09864741426,788.863388772547,431.139583475232
"TCGA.C5.A7UC",67.5569352322009,NA,219.099243772376,92.8377071976168,2203.52438338111,105.288386519707,NA,NA,804.241083328138,160.760809204383,2203.52438338111
"TCGA.Q1.A73Q",61.5244791207356,NA,NA,116.821384289073,1687.42285255861,115.872097992167,NA,427.910409475973,2052.31341327518,65.1574203486083,1687.42285255861
"TCGA.Q1.A6DW",76.1603370594777,NA,244.208021075692,9.21686298925537,706.990658427233,131.850506716096,NA,NA,895.518771550711,261.098861478823,706.990658427233
"TCGA.EA.A5ZE",65.5113341897774,NA,12.1000624081058,10.0251099427715,527.88974988948,44.7503826475292,4.95517239351948,NA,645.562908451021,NA,527.88974988948
"TCGA.MU.A5YI",350.213215972954,NA,523.062086571587,126.465764284665,443.818648709353,224.602223035815,NA,NA,6001.23312650138,902.88714448928,443.818648709353
"TCGA.DS.A0VK",412.917822414589,NA,54.17371627242,NA,396.611261342794,135.250434830175,NA,78.0875179401004,2316.56513635135,211.481123698911,396.611261342794
"TCGA.ZJ.AAXN",148.87884718039,320.007477781059,NA,184.204506396414,NA,553.84670103957,NA,914.915416862619,13579.8003245883,2422.2373501039,0
"TCGA.VS.A9UA",18.4064176688543,NA,NA,25.4491224934562,636.400123792838,141.211992573025,NA,191.809272845786,2184.85251763599,121.615682928917,636.400123792838
"TCGA.VS.A9UD",106.806289161595,NA,NA,21.8326713035969,961.055348384173,106.538126702381,37.5987580790562,NA,1309.08082067834,162.48565939298,961.055348384173
"TCGA.EK.A2RL",78.9073584722773,NA,NA,87.1638658260539,2301.7109205402,164.590559595994,NA,730.041955779318,3041.98308746966,302.104066652451,2301.7109205402
"TCGA.EA.A3HR",80.5385453378863,NA,NA,84.0555676043839,1750.11604283076,119.532346230852,14.9648325419419,251.020266783637,1757.83123148974,NA,1750.11604283076
"TCGA.DS.A3LQ",277.492296297528,108.204081445171,NA,NA,1674.95181204465,447.653379350335,NA,369.532279639878,8362.1589632625,708.701939532178,1674.95181204465
"TCGA.FU.A40J",NA,18.3511369645484,NA,196.67838959217,1526.26410193479,105.658840727106,NA,1047.97075383865,2400.56211051179,845.904575609981,1526.26410193479
"TCGA.IR.A3L7",151.84009718867,NA,NA,NA,436.485844784787,46.0188547266676,92.4191664222574,109.828803221314,1873.24591113025,185.142440002971,436.485844784787
