"","Signature_1","Signature_100","Signature_13","Signature_17b","Signature_18","Signature_2","Signature_3","Signature_34","Signature_35","Signature_41","Signature_5","Signature_8","Signature_85","df.extra"
"TCGA.42.2593",1402.22222193424,183.482345244991,28.0627940680007,43.8452023714551,NA,136.21417650504,1645.27372579451,NA,NA,NA,13333.5363197602,NA,2101.11761314153,1645.27372579451
"TCGA.29.1781",108.418445780373,NA,NA,NA,213.185155838408,40.5016392894653,1677.99765890509,186.372590907615,137.094957879315,NA,859.272868676692,NA,1472.33833080472,1677.99765890509
"TCGA.61.1903",810.464076635816,NA,551.91554297793,64.0823810410617,NA,227.616054191145,2723.92109363087,NA,NA,NA,21237.2057347535,1440.19656032601,3955.36752947948,2723.92109363087
"TCGA.20.1687",86.3433941164476,96.7599149935335,NA,NA,480.806285858185,61.6082479911747,1270.6256746731,NA,NA,NA,1571.04531665071,217.313925138409,303.760083244398,1270.6256746731
"TCGA.29.1699",171.456344222761,NA,96.2785155786408,NA,258.595751365666,62.9170803067194,504.382841220295,NA,NA,NA,3248.24167138229,578.947299369231,526.937069619255,504.382841220295
"TCGA.36.2534",194.532290529807,159.756081806291,NA,61.2812363515807,NA,86.8129320160347,1320.00905835801,NA,NA,NA,3966.60443700748,703.834876179365,772.738301487918,1320.00905835801
"TCGA.13.1411",212.950298888612,409.217287220075,NA,84.2917266771277,856.880507665663,146.594237079488,3264.82562732309,NA,NA,NA,3800.02724412893,NA,1445.41595049195,3264.82562732309
"TCGA.09.2044",61.8970962964669,13.42992735827,NA,NA,339.605802642942,20.601683257409,479.801185641019,NA,NA,NA,1335.60339987956,226.289546299634,131.73286786017,479.801185641019
"TCGA.30.1714",123.90473055421,137.833124396524,NA,NA,259.31011295802,39.5471555866276,1057.57466976586,NA,NA,NA,1267.72541326426,156.670789862555,165.280697494148,1057.57466976586
"TCGA.24.1603",270.273524841377,NA,48.1405672813381,NA,390.987297918876,218.505175519794,589.626450301315,NA,NA,NA,3879.89955341472,560.906299007186,301.363730035809,589.626450301315
"TCGA.42.2591",62.5196203554668,NA,78.7212363647142,NA,213.039296094921,54.7607842182974,582.108257976256,NA,NA,NA,1439.97112387799,344.201948544001,208.410357915659,582.108257976256
"TCGA.13.0893",NA,115.308166397623,NA,NA,196.823054024222,111.42487919116,2848.22669068465,NA,NA,780.377064152118,3649.45219856703,876.746027089572,1538.81989699144,2848.22669068465
