"","Signature_1","Signature_100","Signature_13","Signature_17b","Signature_18","Signature_2","Signature_28","Signature_3","Signature_31","Signature_34","Signature_40","Signature_5","Signature_8","df.extra"
"TCGA.D1.A0ZO",398.353309926723,41.4336080277878,41.6282836931967,NA,NA,NA,2.48485754661017,NA,NA,7.03575436883555,1885.02578800039,4565.39494007165,735.589103793769,0
"TCGA.A5.A0GI",159.029002497341,47.1710194342647,128.136291541639,NA,190.285077278872,NA,NA,860.198228575996,NA,NA,1321.36965357634,924.326927526506,602.137763267879,860.198228575996
"TCGA.A5.A0GX",32.0798943039307,117.778443481478,NA,NA,3253.41215902088,31.5419574688519,NA,2871.28472045008,NA,NA,NA,NA,1621.37867045407,2871.28472045008
"TCGA.AX.A1C7",261.364827197152,88.3358839127229,52.6538031761692,NA,NA,NA,45.4777878231763,NA,NA,78.2119200370428,1808.3634774902,6040.3749024862,588.011880825655,0
"TCGA.EY.A1GL",323.963136422939,420.537898673362,NA,80.1618233887766,NA,101.849966206798,NA,3706.00352413425,NA,110.634300438682,884.944194817625,4149.80348457612,NA,3706.00352413425
"TCGA.AP.A3K1",548.488176464904,NA,NA,NA,NA,NA,11.3427868047852,1108.34405434882,NA,77.1699519809314,NA,4204.13922481861,64.1477800647463,1108.34405434882
"TCGA.EY.A1GC",138.87732340351,31.0992617782912,NA,NA,668.592593563076,NA,NA,710.203253895447,NA,10.9544760610591,971.16408836878,2511.20215169706,208.482627895847,710.203253895447
"TCGA.AX.A063",239.834908103045,33.2839665191896,5.30283180811448,NA,341.596972884521,NA,NA,NA,NA,NA,1073.71601078169,2366.69723852112,615.04456696217,0
"TCGA.D1.A16O",107.60880219433,103.904454605791,40.0656707529498,NA,NA,29.7009923667189,25.0590498592052,1500.40273958511,NA,34.0549590580671,NA,2346.3279962886,NA,1500.40273958511
"TCGA.KP.A3W4",263.196599371098,40.5991238633781,NA,NA,582.45744537408,57.4076071333577,NA,NA,NA,NA,1310.65528346195,1659.11591191785,902.70824682027,0
"TCGA.AJ.A3NG",639.471281136237,222.87100380945,NA,NA,NA,74.9236621033017,NA,591.453940350184,NA,90.6420040110931,4145.26199514614,9087.64975649416,724.520066200382,591.453940350184
"TCGA.B5.A0JY",620.553833678601,422.167745781985,NA,47.6225612433084,NA,143.412652334595,112.907971276643,2380.8883646057,NA,NA,2578.83567952628,11035.0451490458,NA,2380.8883646057
"TCGA.AX.A06F",253.355212221809,33.3822427214599,55.3430204334639,NA,NA,NA,NA,NA,NA,40.68728223524,1592.53864681168,3072.74192455641,695.311182513302,0
"TCGA.AX.A2HA",489.432694377932,24.3497828068807,NA,NA,354.503585389939,NA,NA,223.890221101857,NA,42.8151935366843,57.8822242950895,4562.09798767698,1009.57890301022,223.890221101857
"TCGA.B5.A11F",NA,66.3925069529104,NA,NA,NA,60.2548427869615,44.4657599590769,625.862410846265,NA,147.792092957599,1247.30416881832,3791.43398474736,224.560412419452,625.862410846265
"TCGA.B5.A121",22458.93282962,800.305582127111,NA,31.7767429556433,4593.88389648246,NA,NA,NA,3078.67117070939,845.606371287981,1114.76064559675,30256.5357124314,NA,0
"TCGA.H5.A2HR",413.252073539031,92.7706194245882,NA,NA,NA,9.3195254238511,NA,NA,NA,NA,1842.7627558285,5839.50175351903,565.627840970012,0
"TCGA.AX.A06B",203.074629398351,60.0277612251569,NA,NA,471.126445949412,NA,NA,NA,NA,NA,1203.39002042601,2123.25563025201,689.670782580801,0
"TCGA.DF.A2KS",182.467400824276,NA,97.279451627034,NA,NA,12.0228774174411,35.8963811178865,NA,NA,53.7170995679336,1713.1750634071,3569.75167525904,552.47356181166,0
"TCGA.A5.A1OJ",NA,47.9505929124559,NA,NA,NA,53.9937286593516,49.264600823078,619.199820590131,NA,114.16020412525,988.448526374227,2417.05318964426,394.040599939078,619.199820590131
"TCGA.AX.A062",113.129481335938,398.989782646014,NA,69.5399269619105,235.109824641705,116.178838280507,NA,2859.50438248623,NA,NA,NA,653.530545632242,NA,2859.50438248623
"TCGA.D1.A1O7",126.69535559895,183.95742335433,NA,46.8072437154365,206.219695996246,90.4594821543499,NA,1345.91754902409,NA,NA,NA,1621.94816868073,295.162831692709,1345.91754902409
"TCGA.D1.A0ZS",423.909385516221,276.25201107633,NA,37.7362333173388,312.159519573948,64.8278254904413,NA,1853.89950629314,NA,NA,NA,2229.35272891575,127.481681233739,1853.89950629314
"TCGA.AX.A3FX",100.286774015191,25.322278570988,17.0973536568993,NA,307.989205091092,NA,NA,NA,NA,NA,824.468418940553,1780.28065770487,611.117039739354,0
"TCGA.D1.A15W",228.950878694948,NA,232.383660807041,NA,407.995887821842,159.111877039604,NA,NA,NA,67.7622567629744,1735.82051926551,2775.39259088129,354.696118989311,0
"TCGA.FI.A2EU",99.8019958943784,49.2265641721473,NA,NA,391.082335583132,NA,2.09736843440718,20.6299030539996,NA,NA,574.652453211517,1947.59316249335,544.753922023335,20.6299030539996
